id,year,ncessch,leaid,grade,race,sex,enrollment,fips,extracted_at
90,2022,060002503575,0600025,4,99,99,64,6,2026-03-29
91,2022,060002503576,0600025,4,99,99,98,6,2026-03-29
92,2022,060002505922,0600025,4,99,99,58,6,2026-03-29
93,2022,060002609486,0600026,4,99,99,51,6,2026-03-29
94,2022,060002702451,0600027,4,99,99,110,6,2026-03-29
95,2022,060002702452,0600027,4,99,99,55,6,2026-03-29
96,2022,060002707605,0600027,4,99,99,115,6,2026-03-29
97,2022,060002709490,0600027,4,99,99,76,6,2026-03-29
98,2022,060002709491,0600027,4,99,99,87,6,2026-03-29
99,2022,060002709492,0600027,4,99,99,93,6,2026-03-29
100,2022,060002709497,0600027,4,99,99,128,6,2026-03-29
101,2022,060002709498,0600027,4,99,99,98,6,2026-03-29
102,2022,060002710281,0600027,4,99,99,101,6,2026-03-29
103,2022,060002710352,0600027,4,99,99,99,6,2026-03-29
104,2022,060002710587,0600027,4,99,99,146,6,2026-03-29
105,2022,060002711037,0600027,4,99,99,75,6,2026-03-29
106,2022,060002712001,0600027,4,99,99,142,6,2026-03-29
107,2022,060002712094,0600027,4,99,99,31,6,2026-03-29
108,2022,060002712772,0600027,4,99,99,75,6,2026-03-29
109,2022,060002714467,0600027,4,99,99,64,6,2026-03-29
110,2022,060002805012,0600028,4,99,99,82,6,2026-03-29
111,2022,060002806276,0600028,4,99,99,100,6,2026-03-29
112,2022,060002807223,0600028,4,99,99,85,6,2026-03-29
113,2022,060002808270,0600028,4,99,99,74,6,2026-03-29
114,2022,060002808271,0600028,4,99,99,119,6,2026-03-29
115,2022,060002809502,0600028,4,99,99,84,6,2026-03-29
116,2022,060002809503,0600028,4,99,99,75,6,2026-03-29
117,2022,060002809506,0600028,4,99,99,88,6,2026-03-29
118,2022,060002809684,0600028,4,99,99,117,6,2026-03-29
119,2022,060002810282,0600028,4,99,99,88,6,2026-03-29
120,2022,060002810353,0600028,4,99,99,122,6,2026-03-29
121,2022,060002811039,0600028,4,99,99,139,6,2026-03-29
122,2022,060002811041,0600028,4,99,99,70,6,2026-03-29
123,2022,060002811042,0600028,4,99,99,140,6,2026-03-29
124,2022,060002811043,0600028,4,99,99,115,6,2026-03-29
125,2022,060002811170,0600028,4,99,99,148,6,2026-03-29
126,2022,060002811838,0600028,4,99,99,160,6,2026-03-29
127,2022,060002814529,0600028,4,99,99,36,6,2026-03-29
128,2022,060002906282,0600029,4,99,99,129,6,2026-03-29
129,2022,060002908565,0600029,4,99,99,179,6,2026-03-29
130,2022,060002909507,0600029,4,99,99,148,6,2026-03-29
131,2022,060002909508,0600029,4,99,99,123,6,2026-03-29
132,2022,060002909509,0600029,4,99,99,139,6,2026-03-29
133,2022,060002909510,0600029,4,99,99,105,6,2026-03-29
134,2022,060002909511,0600029,4,99,99,108,6,2026-03-29
135,2022,060002910354,0600029,4,99,99,138,6,2026-03-29
136,2022,060002911044,0600029,4,99,99,131,6,2026-03-29
137,2022,060002911239,0600029,4,99,99,142,6,2026-03-29
138,2022,060002911241,0600029,4,99,99,32,6,2026-03-29
139,2022,060002911921,0600029,4,99,99,175,6,2026-03-29
140,2022,060003109475,0600031,4,99,99,0,6,2026-03-29
141,2022,060003204950,0600032,4,99,99,100,6,2026-03-29
142,2022,060003204951,0600032,4,99,99,89,6,2026-03-29
143,2022,060003204952,0600032,4,99,99,86,6,2026-03-29
144,2022,060003204956,0600032,4,99,99,92,6,2026-03-29
145,2022,060003204957,0600032,4,99,99,94,6,2026-03-29
